Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Gekido,PS,1999,Fighting,nan,,
Myst,DS,2007,Adventure,43,3.5,E
Sword Art Online: Lost Song,PS3,2015,Role-Playing,nan,,
Disney's The Jungle Book,GBA,2002,Platform,60,tbd,E
Puss in Boots,DS,2011,Action,nan,tbd,E
Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,54,tbd,T
Murdered: Soul Suspect,X360,2014,Action,nan,7.2,M
Army Men World War: Team Assault,PS,2001,Action,nan,,
Deca Sports DS,DS,2009,Sports,57,tbd,E
nail'd,X360,2010,Racing,64,7.1,E10+
Tom Clancy's Splinter Cell,GBA,2003,Action,77,8.6,T
Bullet Witch,X360,2006,Shooter,55,6.1,M
Spider-Man: Web of Shadows,DS,2008,Action,77,7.5,E10+
Pinball Hall of Fame: The Williams Collection,3DS,2011,Misc,67,7.3,E10+
Rolling Stone: Drum King,Wii,2009,Misc,32,1.8,T
NBA Ballers: Rebound,PSP,2006,Sports,69,7.7,E
Marvel vs. Capcom: Clash of Super Heroes,DC,1999,Fighting,nan,,
Silent Scope Complete,XB,2004,Shooter,69,7.4,M
King's Field: The Ancient City,PS2,2001,Role-Playing,60,8.5,T
LEGO Rock Raiders,PS,1999,Strategy,nan,,
Ghost in the Shell,PS,1997,Simulation,nan,,
Leisure Suit Larry: Box Office Bust,PS3,2009,Adventure,17,1.7,M
Attack of the Movies 3D,Wii,2010,Shooter,39,tbd,T
Monkey Mischief! Party Time,Wii,2008,Misc,nan,tbd,E10+
Evil Dead: Fistfull of Boomstick,XB,2003,Action,nan,,
Tom Clancy's Classic Trilogy,XB,2004,Shooter,nan,tbd,M
Harvest Moon DS Cute (jp sales),DS,2005,Simulation,nan,,
Little League World Series Baseball 2010,X360,2010,Sports,55,tbd,E
Indigo Prophecy,XB,2005,Adventure,84,7.7,M
Bleach: Dark Souls (JP sales),DS,2007,Fighting,nan,,
Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,2007,Misc,nan,,
Generator Rex: Agent of Providence,3DS,2011,Action,nan,tbd,E10+
Over the Hedge,XB,2006,Platform,61,tbd,E10+
Cabela's North American Adventures,PSP,2010,Sports,nan,7.8,T
World Series of Poker 2008: Battle for the Bracelets,PS3,2007,Misc,75,tbd,T
Sneakers,XB,2002,Puzzle,28,4.6,E
Crime Crackers,PS,1994,Role-Playing,nan,,
NHL 2K6,X360,2005,Sports,75,6.1,E10+
SCORE International Baja 1000: The Official Game,Wii,2008,Racing,nan,,
Micro Machines V3,PS,1997,Racing,nan,,
X-Men: Destiny,Wii,2011,Action,36,4.5,T
College Hoops 2K6,XB,2005,Sports,82,9.2,E
Contact,DS,2006,Role-Playing,73,8.2,E10+
"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,2010,Strategy,nan,,
"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC,2000,Adventure,nan,,
Happy Feet Two,DS,nan,Action,nan,tbd,E
Idol Janshi Suchie-Pai Remix,SAT,1995,Misc,nan,,
NBA 2K16,PC,2015,Sports,nan,5.7,E10+
Exhibition Volume 03,XB,2003,Misc,nan,,
Fate/hollow ataraxia,PSV,2014,Adventure,nan,,
Marvel Super Hero Squad: The Infinity Gauntlet,3DS,2011,Action,54,tbd,E10+
Harvey Birdman: Attorney at Law,PSP,2008,Adventure,62,8,T
Zero4 Champ RR-Z,SNES,1995,Racing,nan,,
Initial D: Street Stage,PSP,2006,Racing,nan,,
Tales of Innocence R,PSV,2012,Role-Playing,nan,,
Harry Potter and the Deathly Hallows - Part 2,PC,2011,Action,43,5,
Nicktoons: MLB,DS,2011,Sports,nan,,
Tom Clancy's HAWX 2,Wii,2010,Action,47,tbd,T
Predator: Concrete Jungle,XB,2005,Action,46,8,M
Lucky * Star: Ryouou Gakuen Outousai,PS2,2008,Adventure,nan,,
Start the Party! Save the World,PS3,2011,Misc,nan,,
Opoona,Wii,2007,Role-Playing,65,7.7,E10+
Big League Sports,Wii,2008,Sports,nan,1.4,E
Naruto Shippuden: Gekito Ninja Taisen! EX,Wii,2007,Fighting,nan,,
Universal Studios Theme Parks Adventure,GC,2001,Misc,39,2.9,T
Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,2009,Misc,nan,,
Steins;Gate,PSV,2013,Adventure,83,9.2,M
Piglet's Big Game,PS2,2003,Platform,nan,tbd,E
Real Bout Garou Densetsu,SAT,1996,Fighting,nan,,
"Prinny 2: Dawn of Operation Panties, Dood!",PSP,2010,Platform,nan,,
Project FIFA World Cup,PS2,2002,Sports,nan,,
Rocky: Legends,XB,2004,Action,67,5.2,T
The BIGS 2,PSP,2009,Sports,67,tbd,E10+
Lord of Apocalypse,PSP,2011,Role-Playing,nan,,
Dora & Kai-Lan's Pet Shelter,DS,2011,Strategy,nan,,
Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,2004,Adventure,nan,,
Nancy Drew: The Model Mysteries,DS,2010,Puzzle,nan,tbd,E10+
Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,2008,Adventure,nan,,
Cate West: The Vanishing Files,DS,2008,Adventure,68,tbd,E10+
Star Trek: Shattered Universe,PS2,2004,Simulation,42,8.3,E
Fifi and the Flowertots,DS,2009,Misc,nan,,
The Land Before Time: Great Valley Racing Adventure,PS,2001,Racing,nan,,
System Flaw,DS,2009,Shooter,nan,tbd,E
Ultra Street Fighter IV,PS4,2015,Fighting,71,5.9,T
EVE: Valkyrie,PS4,2016,Shooter,73,6.3,T
Dragon Ball: Evolution,PSP,2009,Fighting,28,0.9,T
The Walking Dead: Season Two,X360,2014,Adventure,nan,,
The Crew: Wild Run,PS4,2015,Action,73,6.8,T
Pajama Sam: Don't Fear The Dark,Wii,2008,Adventure,nan,,
The Walking Dead: Season Two,PSV,2014,Adventure,nan,,
MTX Mototrax,XB,2004,Racing,79,tbd,E
Blast Chamber,PS,1996,Shooter,nan,,
Championship Pony,DS,2008,Simulation,nan,tbd,E
NASCAR Unleashed,PS3,2011,Racing,nan,tbd,E
Code:Realize - Sousei no Himegimi,PSV,2014,Adventure,nan,,
Natural Doctrine,PS4,2014,Role-Playing,53,6,M
NeverDead,X360,2012,Shooter,52,5.5,M
EyeToy: Operation Spy,PS2,2005,Action,53,tbd,E
MotoGP 07,PS2,2007,Racing,62,9.1,E
Blades of Time,PS3,2012,Action,53,7.2,M
Disney Sing It! High School Musical 3: Senior Year,X360,2009,Misc,nan,,
Thor: God of Thunder,3DS,2011,Action,55,4.2,T
Option Tuning Car Battle,PS,1998,Racing,nan,,
Ridge Racer 2,PSP,2006,Racing,nan,,
Pro Evolution Soccer 2016,X360,2015,Sports,nan,7,E
Derby Jockey 2,SNES,1995,Sports,nan,,
Cubic Ninja,3DS,2011,Platform,51,5.9,E
Famicom Mini: Mappy,GBA,2004,Platform,nan,,
Ben 10 Galactic Racing,X360,2011,Racing,nan,tbd,E
Reign of Fire,XB,2002,Shooter,54,tbd,M
Descent Maximum,PS,1997,Shooter,nan,,
F1 2014,PC,2014,Racing,61,4.8,E
King of Clubs: Mini Golf,Wii,2008,Sports,nan,,
Harvest Moon: Frantic Farming,DS,2009,Puzzle,72,6.8,E
Angry Birds Star Wars,WiiU,2013,Strategy,nan,6.8,E
Petz Hamsterz Superstarz,DS,2009,Simulation,nan,tbd,E
Blue Dragon: Awakened Shadow,DS,2009,Role-Playing,63,6.6,E10+
Star Wars: Lethal Alliance,DS,2006,Action,57,tbd,E10+
Shining Force EXA,PS2,2007,Role-Playing,64,7.3,E10+
Virtual Pro Wrestling,PS,1996,Fighting,nan,,
Rapala Pro Bass Fishing 2010,DS,2010,Sports,nan,tbd,E
Shadow Tower,PS,1998,Role-Playing,nan,,
Digimon World DS,DS,2006,Role-Playing,71,7.6,E10+
Luminous Arc 2 (JP sales),DS,nan,Role-Playing,nan,,
CSI: Hard Evidence,X360,2007,Adventure,nan,,
MySims SkyHeroes,X360,2010,Action,56,5.5,E10+
Ford Racing 3,DS,2005,Racing,49,tbd,E
Ice Age 2: The Meltdown,XB,2006,Platform,68,tbd,E10+
Guilty Gear Isuka,PS2,2004,Fighting,73,7.5,T
The Secret Saturdays: Beasts of the 5th Sun,Wii,2009,Action,60,tbd,E10+
Horse Life Adventures,DS,2008,Simulation,nan,tbd,E
The Idolmaster: Platinum Stars,PS4,2016,Simulation,nan,,
Jikkyou Powerful Pro Yakyuu 2013,PSV,2013,Sports,nan,,
Tornado Outbreak,Wii,2009,Action,71,8.2,E10+
Shadow Master,PS,1997,Adventure,nan,,
Global Touring Challenge: Africa,PS2,2001,Racing,64,tbd,E
Shovel Knight,WiiU,2015,Platform,88,8.3,E
Makai Shin Trillion,PSV,2014,Role-Playing,nan,,
Tokimeki Memorial: Taisen Pazurudama,PS,1996,Puzzle,nan,,
Digimon World: Next Order,PSV,2016,Action,nan,,
Who Wants to Be A Millionaire?,X360,2011,Misc,nan,,
The Secret Saturdays: Beasts of the 5th Sun,PSP,2009,Action,nan,tbd,E10+
Operation Abyss: New Tokyo Legacy,PSV,2014,Role-Playing,66,7.3,M
Skylanders: Spyro's Adventure,PC,2011,Action,nan,3.5,E10+
Man vs. Wild,X360,2011,Action,nan,4.6,T
Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV,2012,Adventure,nan,,
Watchmen: The End is Nigh Part 1 & 2,X360,2009,Action,nan,,
MotoGP 2,XB,2003,Racing,87,8.5,E
Pro Yakyuu Famista DS,DS,2007,Sports,nan,,
Happy Feet Two,X360,nan,Action,nan,,
iCarly 2: iJoin The Click!,Wii,2010,Adventure,nan,9,E
Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero,GBA,2002,Fighting,nan,,
Gundam Breaker 3,PS4,2016,Action,nan,,
Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014,Role-Playing,nan,,
Paws & Claws: Pet Vet,Wii,2009,Simulation,nan,,
Dora's Cooking Club,DS,2010,Misc,nan,,
Heatseeker,Wii,2007,Action,62,6.2,T
Ar tonelico: Melody of Elemia,PS2,2006,Role-Playing,71,7.7,T
Sol Trigger,PSP,2012,Role-Playing,nan,,
Castlevania Double Pack,GBA,2006,Platform,86,8.4,T
Ballistic: Ecks vs. Sever,GBA,2002,Shooter,nan,,
Samurai Warriors 4: Empires,PS4,2015,Action,71,6.5,T
Jikkyou Powerful Pro Yakyuu 11,GC,2004,Sports,nan,,
Ninja Reflex,DS,2008,Action,54,tbd,E10+
Steel Battalion,XB,2002,Simulation,83,8.5,T
Street Fighter Collection,PS,1997,Fighting,nan,,
Alvin and the Chipmunks: The Squeakquel,Wii,2009,Misc,nan,tbd,E
Digimon Story: Super Xros Wars Blue/Red,DS,2011,Role-Playing,nan,,
Power Stone Collection,PSP,2006,Action,74,6.8,T
Cartoon Network: Punch Time Explosion,3DS,2011,Fighting,58,5.9,E10+
Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,2010,Sports,nan,,
Bejeweled Twist,DS,2010,Puzzle,77,tbd,E
"Blast Works: Build, Trade, Destroy",Wii,2008,Shooter,78,7.7,E
MX SuperFly featuring Ricky Carmichael,XB,2002,Racing,nan,,
Gokuhou!! Mecha Mote Iinchou: MM Town de Miracle Change!,DS,2009,Simulation,nan,,
SNK vs. Capcom Card Fighters DS,DS,2006,Strategy,48,4.8,T
Kuroko's Basketball: Miracle Game,3DS,2014,Sports,nan,,
Medieval II: Total War,PC,2006,Strategy,88,8.9,T
Lego Star Wars: The Force Awakens,PSV,2016,Action,nan,7.1,E10+
Darkest of Days,X360,2009,Shooter,44,4.8,M
Skylanders Imaginators,XOne,2016,Platform,78,6,E10+
Minority Report: Everybody Runs,XB,2002,Action,54,5,T
NASCAR,PSP,2006,Racing,66,5.3,E
The Voice,WiiU,2014,Action,nan,,
One Piece: Burning Blood,PSV,2016,Fighting,62,7.8,T
Shox,PS2,2002,Racing,78,tbd,E
Rio,X360,2011,Misc,60,7,E10+
Gundam Breaker,PSV,2013,Action,nan,,
Unou no Tatsujin: Soukai! Machigai Museum 2,DS,2007,Misc,nan,,
Kiniro no Corda 3,PSP,2010,Adventure,nan,,
Playboy: The Mansion,XB,2005,Simulation,61,4.1,M
Neo Atlas,PS,1998,Strategy,nan,,
Disney's Aladdin in Nasira's Revenge,PS,2000,Action,61,8.3,E
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GC,2005,Adventure,nan,,
Squinkies 2: Adventure Mall Surprize!,DS,2011,Platform,nan,,
Winning Post 6,PS2,2003,Sports,nan,,
Egg Monster Hero,DS,nan,Role-Playing,nan,,E
Whacked!,XB,2002,Misc,nan,,
Barnyard,PS2,2006,Action,62,8.7,E10+
Ultimate Marvel vs. Capcom 3,PS3,2011,Fighting,80,6.2,T
MindJack,X360,2011,Shooter,43,1.2,M
Pac-Man World 3,GC,2005,Platform,66,7.3,E
thinkSMART,DS,2010,Misc,nan,tbd,E
National Geographic Challenge!,Wii,2011,Misc,nan,,
Rocky,GC,2002,Fighting,74,tbd,T
Glory Days 2,DS,2007,Strategy,73,7.3,E10+
Just Dance 2017,WiiU,2016,Misc,nan,tbd,E10+
Brain Age: Concentration Training,3DS,2012,Puzzle,71,7.9,E
Crash 'N' Burn,XB,2004,Racing,65,6.4,T
NFL Blitz 20-02,XB,2002,Sports,77,tbd,E
NatGeo Challenge! Wild Life,PS3,2010,Misc,nan,,
Metal Fight Beyblade,DS,2009,Action,nan,,
Robots,XB,2005,Action,60,tbd,E
Kung Fu Panda 2,PS3,2011,Action,nan,,
Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,59,6.3,E10+
Hakuoki: Demon of the Fleeting Blossom,PSP,2009,Adventure,79,8.3,M
Field & Stream: Total Outdoorsman Challenge,X360,2010,Sports,nan,,
Speed Kings,PS2,2003,Racing,61,7.8,E
Dungeons,PC,2011,Strategy,65,4.6,M
Little League World Series Baseball 2008,Wii,2008,Sports,70,8,E
Winter Stars,X360,2011,Sports,46,6.5,E
Disney Planes Fire & Rescue,3DS,2014,Action,nan,,
Langrisser V: The End of Legend,SAT,1998,Strategy,nan,,
PhotoKano,PSP,2012,Adventure,nan,,
Ouchi Mainichi Tamagotchi,3DS,2012,Action,nan,,
Bladestorm: The Hundred Years' War,X360,2007,Action,63,6.8,T
Fresh PreCure! Asobi Collection,DS,2009,Action,nan,,
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,nan,,
Populous: The Beginning,PS,1998,Strategy,nan,,
Chess,PS,2001,Strategy,nan,,
Rosco McQueen: Firefighter Extreme,PS,1997,Action,nan,,
Terranigma,SNES,1995,Role-Playing,nan,,
Burnout Paradise: The Ultimate Box,PC,2009,Racing,87,7.5,E10+
Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama,DS,2009,Action,nan,,
Girls und Panzer: I Will Master Tankery,PSV,2014,Action,nan,,
Forever Kingdom,PS2,2001,Role-Playing,64,7.8,T
Blitz: Overtime,PSP,2006,Sports,nan,7.5,M
Altered Beast: Guardian of the Realms,GBA,2002,Action,63,4.8,T
Populous DS,DS,2008,Strategy,60,tbd,E10+
The Legend of Heroes: A Tear of Vermillion,PSP,2005,Role-Playing,68,7.7,T
Young Justice: Legacy,PS3,2013,Action,nan,4.9,T
Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,nan,,
Raven Squad: Operation Hidden Dagger,X360,2009,Shooter,38,3.5,T
Age of Empires II: The Age of Kings,PC,1999,Strategy,92,9,T
Family Party: 30 Great Games,Wii,2008,Misc,42,1,E10+
Shining Tears,PS2,2004,Role-Playing,61,6.5,T
Devil May Cry 4,PS4,2015,Action,nan,,
MotoGP,XB,2002,Racing,84,8.4,E
Scaler,PS2,2004,Platform,70,8.6,E
Halo 2,PC,2007,Shooter,72,5.6,M
X-COM: UFO Defense,PS,1995,Strategy,nan,,
Gradius V,PS2,2004,Shooter,82,8.5,T
Adventure Time: Finn & Jake Investigations,PS4,2015,Action,nan,,
Medal of Honor: Vanguard,Wii,2007,Shooter,56,7,T
World Cup '98 France: Road to Win,SAT,1998,Sports,nan,,
Pro Evolution Soccer 2013,Wii,2012,Sports,nan,tbd,E
MLB SlugFest 20-04,XB,2003,Sports,76,tbd,E
Barbie and the Magic of Pegasus,GBA,2005,Action,nan,tbd,E
Beaterator,PSP,2009,Misc,80,7.8,E
Big League Sports: Summer,Wii,2009,Sports,nan,tbd,E
SD Gundam G Generation DS,DS,2005,Role-Playing,nan,,
Retro Game Challenge (US sales),DS,2007,Action,nan,,
Wordmaster,DS,2008,Strategy,57,tbd,E
Arcania: Gothic 4,X360,2010,Role-Playing,64,5.2,T
Bleach: Heat the Soul,PSP,2005,Fighting,nan,,
MegaTagmension Blanc + Neptune VS Zombies,PSV,2015,Action,nan,,
SingStar Guitar,PS3,2010,Misc,nan,,
Psychonauts,PS2,2005,Platform,86,8.7,T
Code Lyoko: Quest for Infinity,Wii,2007,Action,58,8.5,E10+
World Stadium 5,PS,2001,Sports,nan,,
The Smurfs 2,Wii,2013,Platform,nan,tbd,E
Angry Birds: Rio,PC,2011,Puzzle,nan,tbd,E
Championship Foosball,Wii,2008,Sports,nan,tbd,E
Backyard Sports: Sandlot Sluggers,X360,2010,Sports,nan,3.8,E
ESPN NBA 2Night,PS2,2000,Sports,62,tbd,E
Uta no Prince-Sama: Debut,PSP,2012,Adventure,nan,,
Ford Mustang: The Legend Lives,XB,2005,Racing,55,tbd,E
Freekstyle,GC,2002,Racing,78,tbd,E
Galactic Taz Ball,DS,2010,Platform,nan,,
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,1995,Misc,nan,,
PAC-MAN and the Ghostly Adventures,3DS,2013,Platform,nan,tbd,E10+
Digimon Rumble Arena 2,PS2,2004,Fighting,63,7.3,T
Dora the Explorer: Dora Saves the Crystal Kingdom,PS2,2009,Misc,nan,tbd,E
Shockwave Assault,PS,1995,Simulation,nan,,
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,44,5.5,T
Ribbit King,PS2,2003,Sports,58,6.5,E
Minecraft: Story Mode,PC,2015,Adventure,nan,,
Alien Hominid,GC,2004,Shooter,78,8.5,T
World Championship Poker 2: Featuring Howard Lederer,XB,2005,Misc,71,tbd,T
Rygar: The Battle of Argus,Wii,2008,Action,52,7,T
Pro Yakyuu Greatest Nine 98,SAT,1998,Sports,nan,,
Snood 2: On Vacation,DS,2005,Puzzle,46,tbd,E
Learn Chess,DS,2009,Misc,nan,tbd,
Ninja Gaiden Black,XB,2005,Action,94,8.7,M
Bogey: Dead 6,PS,1996,Simulation,nan,,
Scooby-Doo! Who's Watching Who?,DS,2006,Adventure,nan,,
Touch Detective,DS,2006,Adventure,60,6.8,E10+
Hakuouki: Zuisouroku Portable,PSP,2010,Adventure,nan,,
Imagine: Reporter,DS,2010,Simulation,nan,tbd,E
Puyo Pop Fever (JP sales),DS,2004,Puzzle,nan,,
Dragon Ball Kai: Ultimate Butouden,DS,2011,Fighting,nan,,
Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),PS2,2007,Strategy,nan,,
Shin Megami Tensei,PS,2001,Role-Playing,nan,,
Trivial Pursuit unhinged,XB,2004,Misc,58,8,T
NCAA March Madness 08,PS3,2007,Sports,67,3.8,E
InuYasha: Secret of the Divine Jewel,DS,2007,Role-Playing,46,7.6,E10+
Major League Baseball 2K12,PSP,2012,Sports,nan,tbd,E
The Revenge of Shinobi,GBA,2002,Platform,51,tbd,E
Bloody Roar 4,PS2,2003,Fighting,59,8.6,M
Let's Ride! Silver Buckle Stables,PS2,2006,Sports,nan,7.8,E
The Story of Noah's Ark,DS,2010,Action,nan,,
Atari Classics Evolved,PSP,2007,Misc,64,6,E
Cabela's Big Game Hunter,GBA,2002,Sports,nan,,
I-Ninja,GC,2003,Platform,77,7.6,T
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS2,2010,Sports,nan,,
Dragon Tales: Dragon Seek,PS,2000,Platform,nan,,
Yourself Fitness,XB,2004,Sports,nan,,
Tak: The Great Juju Challenge,DS,2005,Platform,66,tbd,E
Steins;Gate 0,PSV,2015,Adventure,86,9.3,M
Ghostbusters: The Video Game (DS Version),PC,2010,Action,nan,,
Dance on Broadway,PS3,2011,Misc,nan,tbd,E10+
Resident Evil Chronicles HD,PS3,2012,Shooter,nan,,
Football Manager 2017,PC,2016,Simulation,81,4.3,E
Return Fire,PS,1996,Strategy,nan,,
Wild ARMs: Alter Code F,PS2,2003,Role-Playing,73,8.3,T
Army Corps of Hell,PSV,2011,Action,57,6.6,M
Bomberman Max 2: Blue Advance,GBA,2002,Puzzle,75,tbd,E
Mind Quiz,PSP,2006,Action,nan,tbd,E
Shrek SuperSlam,XB,2005,Action,71,9.3,E10+
MXGP 2,PS4,2016,Racing,nan,,
Ultimate Mortal Kombat,DS,2007,Fighting,73,8.6,M
Hyperdimension Idol Neptunia PP,PSV,2013,Misc,nan,,
Rapid Reload,PS,1995,Shooter,nan,,
Alien Monster Bowling League,Wii,2009,Sports,nan,tbd,E10+
New Legends,XB,2002,Action,56,tbd,T
Total Overdose: A Gunslinger's Tale in Mexico,PS2,2005,Shooter,71,9,M
Island Xtreme Stunts,PS2,2002,Action,63,tbd,E
Agassi Tennis Generation,PS2,2003,Sports,nan,6,E
I Love Puppies,DS,2010,Simulation,nan,tbd,E
Metal Slug X,PS,2001,Shooter,85,8.8,T
Running Wild,PS,1997,Racing,nan,,
Romance of the Three Kingdoms X,PS2,2005,Strategy,71,8.5,T
Brigandine: The Legend of Forsena,PS,1998,Strategy,nan,,
Prinny: Can I Really Be the Hero?,PSP,2008,Platform,72,7,T
MX SuperFly featuring Ricky Carmichael,GC,2002,Racing,nan,,
Green Lantern: Rise of the Manhunters,Wii,2011,Action,46,tbd,E10+
Disney's The Haunted Mansion,XB,2003,Platform,nan,,
Sound Novel Machi,SAT,1998,Adventure,nan,,
GripShift,PSP,2005,Racing,70,8.7,E
Jenga World Tour,DS,2007,Misc,32,tbd,E
Fighting Fantasy: The Warlock of Firetop Mountain,DS,2009,Role-Playing,45,8.1,T
FIFA 2001: Major League Soccer,PS2,2000,Sports,nan,,
The Daring Game for Girls,Wii,nan,Adventure,nan,tbd,E
Alvin and the Chipmunks: Chipwrecked,Wii,2011,Misc,nan,tbd,E10+
NHL 2K8,PS3,2007,Sports,74,tbd,E10+
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,2007,Sports,nan,,
Beowulf: The Game,PSP,2007,Action,44,5.4,M
Skies of Arcadia,DC,2000,Role-Playing,93,9.4,T
NASCAR: Dirt to Daytona,GC,2002,Racing,85,7.3,E
Demon Chaos,PS2,nan,Action,nan,,
U-Sing  2,Wii,2010,Misc,nan,,
Road Trip,PS2,2002,Racing,80,9,E
Monopoly Collection,Wii,2011,Misc,nan,tbd,E
Blood of Bahamut,DS,2009,Role-Playing,nan,,
Jimmie Johnson's Anything With an Engine,X360,2011,Racing,65,8.8,E10+
Quiz Magic Academy DS: Futatsu no Jikuu Koku,DS,2010,Misc,nan,,
Lilie no Atelier: Salburg no Renkinjutsushi 3,PS2,2001,Role-Playing,nan,,
Animal Planet: Vet Life,Wii,2009,Simulation,nan,tbd,E
Top Gun: Firestorm Advance,GBA,2002,Shooter,nan,,
Singstar: Ultimate Party,PS3,2014,Misc,nan,,
echochrome,PSP,2008,Puzzle,79,7.7,E
Project Eden,PS2,2001,Action,71,7.8,T
Riviera: The Promised Land,PSP,2006,Role-Playing,68,7.7,T
Digimon All-Star Rumble,PS3,2014,Fighting,49,5.8,E10+
Sonic Boom: Fire & Ice,3DS,2016,Platform,nan,,
Samurai Shodown Anthology,PSP,nan,Fighting,nan,tbd,T
Driver: Renegade,3DS,2011,Racing,48,5,M
NERF N-Strike: Double Blast Bundle,Wii,2010,Shooter,nan,tbd,E10+
Kawasaki Quad Bikes,Wii,2007,Racing,nan,tbd,E
Dead or Alive 5,PSV,2013,Fighting,nan,,
May's Mystery: Forbidden Memories,DS,2011,Puzzle,70,tbd,E
Yaiba: Ninja Gaiden Z,PS3,2014,Action,43,4.5,M
Castlevania: Lords of Shadow 2,X360,2014,Action,70,7.8,M
Ghosthunter,PS2,2003,Action,69,8.7,T
Bass Pro Shops: The Hunt,X360,2010,Sports,nan,tbd,T
Shadow of Destiny,PSP,2009,Adventure,54,8.2,T
Pro Evolution Soccer 2012,PC,2011,Action,77,6.4,
Mimana Iyar Chronicle,PSP,2009,Role-Playing,45,5.8,T
Michael Jackson: The Experience,PSV,2011,Misc,57,5.8,E10+
Seven: Molmorth no Kiheitai,PS2,2000,Action,nan,,
Def Jam Fight For NY: The Takeover,PSP,2006,Action,79,8.2,M
Doraemon: Nobita to Midori no Kyojinden DS,DS,2008,Platform,nan,,
Tom Clancy's EndWar,DS,2008,Strategy,69,5.8,T
Major League Baseball 2K11,DS,2011,Sports,nan,tbd,E
Hello Kitty's Cube Frenzy,PS,1998,Puzzle,nan,,
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2,2002,Sports,nan,,
JASF: Jane's Advanced Strike Fighters,X360,2011,Simulation,45,4.5,T
The Smurfs 2,PS3,2013,Platform,nan,5,E
Astro Boy: Omega Factor,GBA,2003,Action,85,8.6,E
Disgaea Infinite,PSP,2010,Adventure,64,4.4,T
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,2010,Misc,nan,,
Import Tuner Challenge (American sales),X360,2006,Racing,nan,,
Phantom Brave: The Hermuda Triangle,PSP,2010,Role-Playing,65,7.3,T
Fullmetal Alchemist: Dual Sympathy,DS,2005,Role-Playing,58,7.3,T
Cardfight!! Vanguard: Ride to Victory,3DS,2013,Misc,nan,,
Jikkyou Powerful Pro Yakyuu Portable 2,PSP,2007,Sports,nan,,
Carnival Games: Wild West 3D,3DS,2011,Misc,nan,tbd,E10+
Kawashima Ryuuta Kyouju Kanshuu Nouryoku Trainer Portable 2,PSP,2006,Misc,nan,,
Chameleon,PSP,2006,Puzzle,nan,tbd,E
The Wolf Among Us,PS3,2014,Adventure,nan,8.2,
Lock's Quest,DS,2008,Strategy,80,8.7,E
Rugby 2005,PS2,2005,Sports,71,8.6,E
Ochaken no Heya DS 2,DS,2007,Simulation,nan,,
Ratchet & Clank Future: Quest for Booty,PS3,2008,Platform,nan,,
Golden Nugget 64,N64,1998,Misc,nan,,
Robotron 64,N64,1998,Shooter,nan,,
The X-Factor,X360,2010,Misc,nan,,
Batman Beyond: Return of the Joker,N64,2000,Action,nan,,
Pokemon Rumble World,3DS,2015,Action,58,6.4,E10+
Castlevania Dracula X,SNES,1995,Platform,nan,,
V-Rally Edition 99,N64,1998,Racing,nan,,
Saikyou Habu Shogi,N64,1996,Misc,nan,,
Go Play: City Sports,Wii,2009,Sports,nan,tbd,E
Naruto RPG 3: Rejiuu vs Konoha Shoutai,DS,2006,Role-Playing,nan,,
Rugby 15,PS3,2015,Sports,nan,tbd,E
Spectral Force Genesis,DS,2008,Role-Playing,46,7,T
Tunnel B1,PS,1996,Action,nan,,
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,nan,,
Last Rebellion,PS3,2010,Role-Playing,44,4.6,T
Porsche Challenge,PS,1997,Racing,nan,,
Dragon Ball Z: Shin Butouden,SAT,1995,Fighting,nan,,
Ben 10 Galactic Racing,PS3,2011,Racing,nan,tbd,E
Super Robot Taisen MX Portable,PSP,2005,Strategy,nan,,
Champion Jockey: G1 Jockey & Gallop Racer,Wii,2011,Sports,nan,,
DriveClub VR,PS4,2016,Racing,67,7.4,E
